food_id,food_desc,WWEIA_desc,ingredient_desc,first_words,calorie,protein,carb,sugar,fiber,saturated_fat,cholesterol,sodium,calcium,phosphorus,potassium,iron,folic_acid,vitamin_c,vitamin_d,vitamin_b12,low_calorie,high_calorie,low_protein,high_protein,low_carb,high_carb,low_sugar,high_sugar,low_fiber,high_fiber,low_saturated_fat,high_saturated_fat,low_cholesterol,high_cholesterol,low_sodium,high_sodium,low_calcium,high_calcium,low_phosphorus,high_phosphorus,low_potassium,high_potassium,low_iron,high_iron,low_folic_acid,high_folic_acid,low_vitamin_c,high_vitamin_c,low_vitamin_d,high_vitamin_d,low_vitamin_b12,high_vitamin_b12,macro_carb,macro_phosphorus,macro_calorie,macro_potassium,macro_sodium,macro_cholesterol,macro_saturated_fat,macro_protein,macro_sugar,macro_fiber,macro_iron,macro_folic_acid,macro_vitamin_b12,macro_calcium,micro_vitamin_d,macro_vitamin_c,non_zero_nutrition_count
58137300,"Adobo, with noodles",Poultry mixed dishes,Soy sauce made from soy and wheat (shoyu),adobo with noodles,172.1195544,17.48291762,8.162018177,0.026581068,0.367536149,2.375103933,59.55940541,427.8804456,15.59554791,126.0874949,174.120371,1.115939147,0.0,0.125881322,0.376007462,0.354727272,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,8
58150530,"Adobo, with rice",Poultry mixed dishes,"Chicken, broilers or fryers, dark meat, meat only, cooked, stewed",adobo with rice,180.9998822,18.30110247,8.878525768,0.032087255,0.160436275,2.473071598,61.62306865,436.597661,17.86598029,136.7026056,189.5618841,1.471326204,16.80180578,0.126596262,0.395070184,0.367375871,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,8
42304040,"Almond butter and jelly sandwich, on wheat bread",Peanut butter and jelly sandwiches,"Nuts, almond butter, plain, with salt added",almond butter and,364.2857143,12.125,42.203125,13.72544643,6.004464286,2.2578125,0.0,317.8571429,186.8303571,235.7142857,324.3303571,2.720982143,7.8125,0.245535714,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,9
42304020,"Almond butter sandwich, on wheat bread",Peanut butter and jelly sandwiches,"Nuts, almond butter, plain, with salt added",almond butter sandwich,385.8695652,14.72826087,36.17391304,5.576086957,7.065217391,2.747826087,0.0,380.4347826,226.0869565,284.7826087,383.6956522,3.27173913,9.782608696,0.108695652,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,9
27445250,Almond chicken,Stir-fry and soy-based sauce mixtures,"Onions, young green, tops only",almond chicken,130.6093462,10.19485277,6.218256622,1.412127054,1.390677159,0.99171527,24.09844546,228.9565069,28.75608478,115.1759842,241.5413669,0.747753073,0.0,3.963235954,0.014634986,0.119471461,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,7
27460510,"Antipasto with ham, fish, cheese, vegetables",Meat mixed dishes,"Olives, pickled, canned or bottled, green",antipasto with ham,142.1426046,10.54036194,3.755707167,1.867136953,0.929944602,4.065720566,80.99526915,693.0118741,137.2277186,156.7987634,223.8580403,0.903070639,0.0,2.403103503,0.478179725,0.529041106,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,8
27446350,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",Poultry mixed dishes,"Nuts, almonds",asian chicken or,119.705283,11.11461333,8.301937243,3.209526754,1.769979093,0.649574052,27.69697694,114.1243652,37.82538462,115.0406157,260.5560563,0.983017416,3.548546228,7.547366189,0.0,0.078373186,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,7
58117410,Bacalaitos fritos,Seafood mixed dishes,"Flour, wheat, all-purpose, enriched, bleached",bacalaitos fritos,277.4415511,15.01477629,36.02549333,0.142337198,1.215549658,1.047882649,27.40871885,683.16262,94.94094071,230.8513121,225.0379968,2.596102746,46.36431702,0.650486778,0.455748061,1.11014836,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,9
27151070,Bacalao guisado,Seafood mixed dishes,"Salt, table, iodized",bacalao guisado,110.1577942,12.99789332,4.645991171,2.237384874,1.184680059,0.648571509,35.05035619,478.9183065,23.68524014,184.0296847,295.0033125,0.613271171,0.0,24.8756594,0.499852807,1.44288976,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,9
34002110,Bacon biscuit sandwich,Egg/breakfast sandwiches,"Fast food, biscuit",bacon biscuit sandwich,383.1329365,13.76390873,29.21803571,3.036865079,1.636111111,12.79025397,33.48015873,1099.936508,209.7460317,474.0833333,190.3809524,2.019940476,34.4781746,0.0,0.837103175,0.447162698,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,10
27520610,"Bacon, lettuce, tomato sandwich on white",Deli and cured meat sandwiches,"Bread, white, commercially prepared",bacon lettuce tomato,231.2797619,10.90595238,29.6485119,3.694940476,1.633928571,2.32110119,15.25297619,536.3541667,127.6041667,131.3988095,200.8482143,2.179613095,49.55357143,3.616071429,0.084821429,0.171130952,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,7
58123110,Bao bun,"Egg rolls, dumplings, sushi","Sugars, granulated",bao bun,270.2868035,10.99395178,38.70063571,5.622492994,1.167810362,2.400782991,21.89012708,343.733203,133.2195829,149.6067775,153.5766699,2.500775171,43.44578038,0.224962529,0.223486478,0.177527208,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5
